Name;Country 1;Country 2;Country 3;Country 4
Jānis Klovāns;Latvia;;;
Gyula Kluger;Hungary;;;
Hans Kmoch;Austria;Netherlands;USA;
Rainer Knaak;Germany;;;
Viktor Knorre;Russia;;;
Mikhail Kobalia;Russia;;;
Alexander Koblencs;Latvia;;;
Berthold Koch;Germany;;;
Alexander Kochyev;Russia;;;
Artur Kogan;Ukraine;Israel;;
Boris Kogan;Russia;USA;;
Anton Kohler;Germany;;;
Stanisław Kohn;Poland;;;
Friedrich Köhnlein;Germany;;;
Dmitry Kokarev;Russia;;;
Atanas Kolev;Bulgaria;;;
Henrijeta KonarkowskaSokolov;Poland;Serbia;;
Alexander Konstantinopolsky;Ukraine;;;
Ignác Kolisch;Slovakia;Austria;Hungary;
Jakub Kolski;Poland;;;
Akshayraj Kore;India;;;
Georges Koltanowski;Belgium;USA;;
Koneru Humpy;India;;;
Imre König;Hungary;Yugoslavia;England;USA
Jerzy Konikowski;Poland;Germany;;
Danny Kopec;USA;;;
Viktor Korchnoi;Russia;Switzerland;;
Anton Korobov;Ukraine;;;
Imre Korody;Hungary;;;
Alexey Korotylev;Russia;;;
Yona Kosashvili;Georgia;Israel;;
Gary Koshnitsky;Moldova;Australia;;
Nadezhda Kosintseva;Russia;;;
Tatiana Kosintseva;Russia;;;
Alexandra Kosteniuk;Russia;;;
Boris Kostić;Austria;Hungary;Yugoslavia;
Jan Kotrč;Czechoslovakia;;;
Vasilios Kotronias;Greece;;;
Pavel Kotsur;Kazakhstan;;;
Alexander Kotov;Russia;;;
Čeněk Kottnauer;Czechoslovakia;England;;
Bachar Kouatly;Syria;Liban;France;
Vlatko Kovačević;Croatia;;;
Alexander Kovchan;Ukraine;;;
Boris Koyalovich;Russia;;;
Valentina Kozlovskaya;Russia;;;
Zdenko Kozul;Croatia;;;
Jesse Kraai;USA;;;
Yair Kraidman;Israel;;;
Adolf Kraemer;Germany;;;
Adolf Kramer;Germany;;;
Haije Kramer;Netherlands;;;
Vladimir Kramnik;Russia;;;
Michał Krasenkow;Russia;Poland;;
Orla Hermann Krause;Denmark;;;
Martyn Kravtsiv;Ukraine;;;
Boris Kreiman;Russia;USA;;
Josef Krejcik;Austria;;;
Leon Kremer;Poland;;;
Martin Kreuzer;Germany;;;
Ljuba Kristol;Russia;Israel;;
Stanislav Kriventsov;Russia;USA;;
Nikolai Krogius;Russia;;;
Paul Krüger;Germany;;;
Irina Krush;Ukraine;USA;;
Yuriy Kryvoruchko;Ukraine;;;
Arvid Kubbel;Russia;;;
Leonid Kubbel;Russia;;;
Sergey Kudrin;Russia;USA;;
Adam Kuligowski;Poland;;;
Kaido Külaots;Estonia;;;
Abhijit Kunte;India;;;
Abraham Kupchik;Belarus;USA;;
Viktor Kupreichik;Belarus;;;
Bojan Kurajica;Bosnia and Herzegovina;;;
Igor Kurnosov;Russia;;;
Alla Kushnir;Russia;Israel;;
Gennady Kuzmin;Russia;;;
Yuriy Kuzubov;Ukraine;;;
Jan Kvicala;Czechoslovakia;;;
Kateryna Lahno;Ukraine;;;
Bogdan Lalić;Yugoslavia/Croatia;England;;
Erwin l'Ami;Netherlands;;;
Frank Lamprecht;Germany;;;
Konstantin Landa;Russia;;;
Salo Landau;Poland;Netherlands;;
Gary Lane;England;Australia;;
Lisa Lane;USA;;;
Max Lange;Germany;;;
Salomon Langleben;Poland;;;
Bent Larsen;Denmark;;;
Ernst Larsson;Sweden;;;
Baron Tassilo von Heydebrand und der Lasa;Prussia/Germany;;;
Berthold Lasker;Germany;;;
Edward Lasker;Poland;Germany;USA;
Emanuel Lasker;Germany;Russia;USA;
Milda Lauberte;Latvia;;;
Leho Laurine;Estonia;Sweden;;
Joël Lautier;Canada;France;;
Darwin Laylo;Philippines;;;
Frédéric Lazard;France;;;
Gustave Lazard;France;;;
Milunka Lazarević;Serbia;;;
Viktor Laznicka;Czech Republic;;;
Le Quang Liem;Vietnam;;;
Sergey Lebedev;Russia;;;
Peter Lee;England;;;
Peter Leepin;Switzerland;;;
Legall de Kermeur;France;;;
Anatoly Lein;Russia;USA;;
Péter Lékó;Hungary;;;
Norman van Lennep;Netherlands;;;
Giovanni Leonardo;Italy;;;
Paul Saladin Leonhardt;Poland;Germany;;
Alex Lenderman;USA;;;
James A. Leonard;USA;;;
Konstantin Lerner;Ukraine;;;
Alexandre Lesiege;Canada;;;
Norman Lessing;USA;;;
René Letelier;Chile;;;
Grigory Levenfish;Poland;Russia;;
Alexander Levin;Russia;;;
Jacob Levin;USA;;;
Naum Levin;Ukraine;Australia;;
Irina Levitina;Russia;USA;;
Stepan Levitsky;Russia;;;
David Levy;Scotland;;;
Jerzy Lewi;Poland;Sweden;;
Moritz Lewitt;Germany;;;
Li Chao;China;;;
Li Ruofan;Singapore;;;
Li Shilong;China;;;
Li Shongjian;China;;;
Li Wenliang;China;;;
Li Zunian;China;;;
Liang Chong;China;;;
Liang Jinrong;China;;;
Vladimir Liberzon;Russia;Israel;;
Theodor Lichtenhein;Germany;USA;;
Espen Lie;Norway;;;
Kjetil Aleksander Lie;Norway;;;
Andor Lilienthal;Hungary;Russia;;
Darcy Lima;Brazil;;;
Lin Ta;China;;;
Lin Weiguo;China;;;
Paul Lipke;Germany;;;
Isaac Lipnitsky;Ukraine;;;
Samuel Lipschütz;Hungary;USA;;
Georgy Lisitsin;Russia;;;
Paul List;Ukraine;Germany;England;
Marta LitinskayaShul;Ukraine;;;
John Littlewood;England;;;
Liu Shilan;China;;;
Liu Wenzhe;China;;;
Ljubomir Ljubojević;Serbia;;;
Eric Lobron;USA;Germany;;
Josef Lokvenc;Austria;;;
Giambattista Lolli;Italy;;;
Rudolf Loman;Netherlands;;;
William Lombardy;USA;;;
Ruy López de Segura;Spain;;;
Edward Löwe;England;;;
Otto Löwenborg;Sweden;;;
Johann Löwenthal;Hungary;England;;
Leopold Löwy;Jr;Austria;;
Leopold Löwy;Sr;Austria;;
Moishe Lowtzky;Ukraine;Poland;;
Sam Loyd;USA;;;
Smbat Lputian;Armenia;;;
Luis Ramirez Lucena;Spain;;;
Markas Luckis;Lithuania;Argentina;;
Andrey Lukin;Russia;;;
Stig Lundholm;Sweden;;;
Erik Lundin;Sweden;;;
Francisco Lupi;Portugal;;;
Constantin Lupulescu;Romania;;;
Thomas Luther;Germany;;;
Christopher Lutz;Germany;;;
Gottlieb Machate;Germany;;;
Aleksandras Machtas;Lithuania;Israel;;
Bartłomiej Macieja;Poland;;;
George Henry Mackenzie;Scotland;USA;;
Nicholas MacLeod;Canada;;;
Carlos Maderna;Argentina;;;
Ildikó Mádl;Hungary;;;
Elmar Magerramov;Azerbaijan;;;
Joanna Majdan;Poland;;;
Kazimierz Makarczyk;Poland;;;
Vladimir Makogonov;Azerbaijan;;;
Gyula Makovetz;Hungary;;;
Vadim Malakhatko;Ukraine;Belgium;;
Vladimir Malakhov;Russia;;;
Vidmantas Mališauskas;Lithuania;;;
Vladimir Malaniuk;Russia;Ukraine;;
Boris Maliutin;Russia;;;
Nidjat Mamedov;Azerbaijan;;;
Shakhriyar Mamedyarov;Azerbaijan;;;
Rauf Mammadov;Azerbaijan;;;
Maria Manakova;Serbia;;;
Karmen Mar;Slovenia;;;
Napoleon Marache;France;USA;;
Max Marchand;Netherlands;;;
Georg Marco;Romania;Austria;;
Alisa Marić;Serbia;;;
Mirjana Marić;Serbia;;;
Mihail Marin;Romania;;;
Beatriz Marinello;Chile;;;
Sergio Mariotti;Italy;;;
Ján Markoš;Slovakia;;;
Tomasz Markowski;Poland;;;
Robert Markuš;Serbia;;;
Géza Maróczy;Hungary;;;
Davide Marotti;Italy;;;
Dražen Marović;Croatia;;;
Frank Marshall;USA;;;
Dion Martinez;Cuba;USA;;
Giovanni Martinolich;Italy;;;
Rico Mascarinas;Philippines;;;
Houshang Mashian;Iran;Israel;;
James Mason;Ireland;USA;England;
Dimitrios Mastrovasilis;Greece;;;
Aleksandar Matanović;Serbia;;;
Hermanis Matisons;Latvia;;;
Milan Matulović;Serbia;;;
Svetlana Matveeva;Russia;;;
Carl Mayet;Germany;;;
Isaak Mazel;Belarus;Russia;;
Neil McDonald;England;;;
Alexander McDonnell;Ireland;;;
Colin McNab;Scotland;;;
Luke McShane;England;;;
Henrique Mecking;Brazil;;;
Antonio Medina;Spain;;;
Edmar Mednis;Latvia;USA;;
Susanto Megaranto;Indonesia;;;
Philipp Meitner;Austria;;;
Olga Menchik;Russia;Czechoslovakia;England;
Vera Menchik;Russia;Czechoslovakia;England;
Julius Mendheim;Germany;;;
Jonathan Mestel;England;;;
Johannes Metger;Germany;;;
Voldemars Mežgailis;Latvia;;;
Paul Michel;Germany;Argentina;;
Walter Michel;Switzerland;;;
Reginald Price Michell;England;;;
Jacques Mieses;Germany;England;;
Samuel Mieses;Germany;;;
Vladas Mikėnas;Estonia;Lithuania;;
Adrian Mikhalchishin;Ukraine;Slovenia;;
Victor Mikhalevski;Belarus;Israel;;
Igor Miladinović;Serbia;;;
Tony Miles;England;;;
Zdravko Milev;Bulgaria;;;
Borislav Milic;Yugoslavia;;;
Sophie Milliet;France;;;
Stuart MilnerBarry;England;;;
Vadim Milov;Russia;Israel;Switzerland;
Artashes Minasian;Armenia;;;
Johannes Minckwitz;Germany;;;
Nikolay Minev;Bulgaria;USA;;
Dragoljub Minić;Montenegro;;;
Evgenij Miroshnichenko;Ukraine;;;
Azer Mirzoev;Azerbaijan;;;
Vesna Mišanović;Bosnia;;;
Kamil Mitoń;Poland;;;
Lilit Mkrtchian;Armenia;;;
Stasch Mlotkowski;USA;;;
Abram Model;Latvia;Russia;;
Charles Moehle;USA;;;
Jorgen Moeller;Denmark;;;
Ariah Mohiliver;Poland;Israel;;
Stefan Mohr;Germany;;;
Alexander Moiseenko;Ukraine;;;
Baldur Möller;Iceland;;;
Augustus Mongredien;England;;;
Léon Monosson;Belarus;France;;
Julius du Mont;France;England;;
Mario Monticelli;Italy;;;
María Teresa Mora;Cuba;;;
Elshan Moradi;Iran;;;
Luciana Morales Mendoza;Peru;;;
Kalikst Morawski;Poland Bruno Moritz;Germany;Ecuador ;
Iván Morovic;Chile;;;
Alexander Moroz (chess player);Ukraine;;;
Alexander Morozevich;Russia;;;
Paul Morphy;USA;;;
John Morrison;Canada;;;
Niaz Morshed;Bangladesh;;;
Paul Motwani;Scotland;;;
Alexander Motylev;Russia;;;
Sergei Movsesian;Armenia;Slovakia;;
Paul Mross;Poland;Germany;;
Martin Mrva;Slovakia;;;
André Muffang;France;;;
Hans Müller;Austria;;;
Karsten Müller;Germany;;;
César Muñoz;Ecuador;;;
Piotr Murdzia;Poland;;;
Jacob Murey;Russia;Israel;;
Augusto de Muro;Argentina;;;
Phiona Mutesi;Uganda;;;
Anna Muzychuk;Ukraine;Slovenia;;
Lkhamsürengiin Myagmarsüren;Mongolia;;;
Hugh Myers;USA;;;
Ashot Nadanian;Armenia;;;
Arkadij Naiditsch;Latvia;Germany;;
Oskar Naegeli;Switzerland;;;
Géza Nagy;Hungary;;;
Miguel Najdorf;Poland;Argentina;;
Hikaru Nakamura;Japan;USA;;
William Napier;England;USA;;
Mario Napolitano;Italy;;;
Renato Naranja;Philippines;;;
Srinath Narayanan;India;;;
Daniel Naroditsky;USA;;;
David Navara;Czech Republic;;;
Vera Nebolsina;Russia;;;
Ozren Nedeljković;Serbia;;;
Gastón Needleman;Argentina;;;
Parimarjan Negi;India;;;
Iivo Nei;Estonia;;;
Oleg Neikirch;Georgia;Bulgaria;;
Kateřina Němcová;Czech Republic;;;
Vladimir Nenarokov;Russia;;;
Ian Nepomniachtchi;Russia;;;
Vincenzo Nestler;Italy;;;
Augustin Neumann;Austria;;;
Gustav Neumann;Germany;;;
Vladislav Nevednichy;Romania;;;
Valeriy Neverov;Ukraine;;;
Rashid Nezhmetdinov;Russia;;;
Ni Hua;China;;;
Arno Nickel;Germany;;;
Bryon Nickoloff;Canada;;;
Bjørn Nielsen;Denmark;;;
Peter Heine Nielsen;Denmark;;;
Torkil Nielsen;Faroe Islands;;;
Walter Niephaus;Germany;;;
Yuri Nikolaevsky;Ukraine;;;
Ioannis Nikolaidis;Greece;;;
Predrag Nikolić;Bosnia and Herzegovina;;;
Allan Nilsson;Sweden;;;
Aron Nimzowitsch;Latvia;Denmark;;
Ning Chunhong;China;;;
LiviuDieter Nisipeanu;Romania;;;
Josef Noa;Hungary;;;
Jesus Nogueiras;Cuba;;;
Federico Norcia;Italy;;;
Holger NormanHansen;Denmark;;;
David Norwood;England;;;
Daniël Noteboom;Netherlands;;;
Igor Novikov;Ukraine;USA;;
Nikolay Novotelnov;Russia;;;
Heinz Nowarra;Germany ;;;
John Nunn;England;;;
Friedrich Nürnberg;Germany;;;
Tomi Nyback;Finland;;;
Gustaf Nyholm;Sweden;;;
Illya Nyzhnyk;Ukraine;;;
Kevin O'Connell;England;Ireland;;
Handszar Odeev;Turkmenistan;;;
Leif Øgaard;Norway;;;
John O'Hanlon;Ireland;;;
Tõnu Õim;Estonia;;;
Kaarle Ojanen;Finland;;;
Albéric O'Kelly de Galway;Belgium;;;
Friðrik Ólafsson;Iceland;;;
Helgi Ólafsson;Iceland;;;
Mikhailo Oleksienko;Ukraine;;;
Lembit Oll;Estonia;;;
Adolf Georg Olland;Netherlands;;;
Anton Olson;Sweden;;;
Alexander Onischuk;Ukraine;USA;;
Karel Opočensky;Czechoslovakia;;;
Wilhelm Orbach;Germany;;;
Menachem Oren;Poland;Israel;;
Gerard Oskam;Netherlands;;;
Berge Ostenstad;Norway;;;
John Owen;England;;;
Karlis Ozols;Latvia;Australia;;
Ludek Pachman;Czechoslovakia;Germany;;
Nikola Padevsky;Bulgaria;;;
Elisabeth Pähtz;Germany;;;
Mladen Palac;Croatia;;;
Sam Palatnik;Ukraine;USA;;
Luis Palau;Argentina ;;;
Victor Palciauskas;Lithuania;USA;;
Richard Palliser;England;;;
Rudolf Palme;Austria;;;
Ryan Palmer;Jamaica;;;
Davor Palo;Denmark;;;
Eero Paloheimo;Finland;;;
Oscar Panno;Argentina;;;
Vasily Panov;Russia;;;
Mark Paragua;Philippines;;;
Shadi Paridar;Iran;;;
Mircea Parligras;Romania;;;
Bruno Parma;Slovenia;;;
Frank Parr;England;;;
Louis Paulsen;Germany;;;
Wilfried Paulsen;Germany;;;
Duško Pavasovič;Croatia;Slovenia;;
Max Pavey;USA;;;
Jiří Pelikán;Czechoslovakia;Argentina;;
Yannick Pelletier;Switzerland;;;
Roman Pelts;Ukraine;Canada;;
Peng Xiaomin;China;;;
Peng Zhaoqin;China;;;
Jonathan Penrose;England;;;
Corina Peptan;Romania;;;
Julius Perlis;Poland;Austria;;
Frederic Perrin;England;USA;;
Raaphi Persitz;England;Israel;Switzerland;
Nick Pert;England;;;
John Peters;USA;;;
Jusefs Petkevich;Latvia;;;
Arshak Petrosian;Armenia;;;
Davit G. Petrosian;Armenia;;;
Tigran Petrosian;Armenia;Georgia;USSR;
Alexander Petrov;Russia;;;
Vladimirs Petrovs;Latvia;;;
Gerhard Pfeiffer;Germany;;;
François André Danican Philidor;France;;;
Luis Piazzini;Argentina;;;
Jeroen Piket;Netherlands;;;
Harry Nelson Pillsbury;USA;;;
Herman Pilnik;Germany;Argentina;;
Karol Piltz;Poland;;;
Albert Pinkus;USA;;;
József Pintér;Hungary;;;
Vasja Pirc;Slovenia;;;
Rudolf Pitschak;Czechoslovakia;USA;;
Karl Pitschel;Austria;;;
Aaron Pixton;USA;;;
Ján Plachetka;Slovakia;;;
Albin Planinc;Slovenia;;;
James Plaskett;England;Spain;;
Kazimierz Plater;Poland;;;
Igor Platonov;Ukraine;;;
Joseph Platz;Germany;USA;;
Isaias Pleci;Argentina;;;
David Podhorzer;Austria;;;
Natalia Pogonina;Russia;;;
Henryk Pogorieły;Poland;;;
Ernest Pogosyants;Ukraine;;;
Iosif Pogrebyssky;Ukraine;;;
Amos Pokorný;Czechoslovakia;;;
Rudolph Pokorny;Bohemia;Mexico;USA;
Giulio Polerio;Italy;;;
Judit Polgár;Hungary;;;
Zsuzsa Polgar;Hungary;USA;;
Zsofia Polgar;Hungary;Israel;;
Elisabeta Polihroniade;Romania;;;
David Polland;USA;;;
William Pollock;United Kingdom;;;
Lev Polugaevsky;Belarus;Russia;;
Arturo Pomar;Spain;;;
Ruslan Ponomariov;Ukraine;;;
Domenico Ponziani;Italy;;;
Stepan Popel;Poland;France;USA;
Ignatz von Popiel;Austria;Hungary;Poland;
Petar Popović;Yugoslavia;Serbia;;
Artur Poplawski;Poland;Switzerland;;
Yosef Porath;Germany;Israel;;
Moritz Porges;Bohemia;Austria;Hungary;
Lajos Portisch;Hungary;;;
Ehrhardt Post;Germany;;;
Evgeny Postny;Israel;;;
Peter Potemkine;Russia;France;;
Vladimir Potkin;Russia;;;
Ludovit Potuček;Slovakia;;;
Christian Poulsen;Denmark;;;
Atousa Pourkashiyan;Iran;;;
Borki Predojević;Bosnia;;;
Edith Charlotte Price;England;;;
Lodewijk Prins;Netherlands;;;
Svetlana Prudnikova;Russia;;;
Dawid Przepiórka;Poland;;;
Lev Psakhis;Russia;Israel;;
Lenka Ptacnikova;Czechoslovakia;Iceland;;
Stojan Puc;Slovenia;;;
Viktors Pupols;Latvia;USA;;
Cecil Purdy;New Zealand;Australia;;
John Purdy;Australia;;;
Qi Jingxuan;China;;;
Qin Kanying;China;;;
Oscar Quiñones;Peru;;;
Miguel Quinteros;Argentina;;;
Braslav Rabar;Croatia;;;
Abram Rabinovich;Lithuania;Russia;;
Ilya Rabinovich;Russia;;;
Teimour Radjabov;Azerbaijan;;;
Ivan Radulov;Bulgaria;;;
Markus Ragger;Austria;;;
Viacheslav Ragozin;Russia;;;
Ziaur Rahman;Bangladesh;;;
Maurice Raizman;Moldova;Russia;France;
Iweta Rajlich;Poland;;;
Ramachandran Ramesh;India;;;
Alejandro Ramírez;Costa Rica;;;
Richárd Rapport;Hungary;;;
Nukhim Rashkovsky;Russia;;;
Ilmar Raud;Estonia;Argentina;;
Vsevolod Rauzer;Ukraine;;;
Yuri Razuvayev;Russia;;;
Damian Reca;Argentina;;;
Hans Ree;Netherlands;;;
Brian Reilly;France;England;Ireland ;
Dimitri Reinderman;Netherlands;;;
Fred Reinfeld;USA;;;
Heinrich Reinhardt;Germany;Argentina;;
Salome Reischer;Austria;Palestine;USA;
Teodor Regedziński;Poland;;;
Arturo Reggio;Italy;;;
Josef Rejfir;Czechoslovakia;;;
Ludwig Rellstab;Germany;;;
Georges Renaud;France;;;
Samuel Reshevsky;Poland;USA;;
Pál Réthy;Hungary;;;
Richard Réti;Austria;Hungary;Czechoslovakia;
Ramón Rey Ardid;Spain;;;
Alexander Riazantsev;Russia;;;
Zoltán Ribli;Hungary;;;
Pablo Ricardi;Argentina;;;
Isaac Rice;USA;;;
Kurt Richter;Germany;;;
Antonio Rico;Spain;;;
Alessandra Riegler;Italy;;;
Fritz Riemann;Germany;;;
Herman Van Riemsdijk;Netherlands;Brazil;;
Friedl Rinder;Germany;;;
Horst Rittner;Germany;;;
Nikolai Riumin;Russia;;;
Jules Arnous de Rivière;France;;;
Karl Robatsch;Austria;;;
Walter Robinow;Germany;;;
Ray Robson;USA;;;
Ludwig Rödl;Germany;;;
Maxim Rodshtein;Israel;;;
H. Roepstorff;Germany;;;
Ian Rogers;Australia;;;
Gustav Rogmann;Germany;;;
Kenneth Rogoff;USA;;;
Dorian Rogozenko;Romania;;;
Ivan Vladimir Rohaček;Slovakia;;;
Michael Rohde;USA;;;
Michael Roiz;Russia;Israel;;
Oleg Romanishin;Ukraine;;;
Alexander Romanovsky;Lithuania;Russia;;
Peter Romanovsky;Russia;;;
Max Romih;Croatia;Italy;;
Chris de Ronde;Netherlands;Argentina;;
Catharina Roodzant;Netherlands;;;
Salme Rootare;Estonia;;;
Vidrik Rootare;Estonia;;;
Jakob Rosanes;Ukraine;Austria;Hungary;Germany
Bernardo Roselli;Uruguay;;;
Leon Rosen;Poland;USA;;
Andreas Rosendahl;Denmark;;;
Karl Wilhelm Rosenkrantz;Latvia;Russia;;
Jacob Rosenthal;USA;;;
Samuel Rosenthal;Poland;France;;
Laura Ross;USA;;;
Stefano Rosselli del Turco;Italy;;;
Héctor Rossetto;Argentina;;;
Nicolas Rossolimo;Ukraine;France;USA;
Gersz Rotlewi;Poland;;;
Eugéne Rousseau;France;;;
Jonathan Rowson;Scotland;;;
Solomon Rozental;Lithuania;Belarus;;
Eduardas Rozentalis;Lithuania;;;
Vesna Rožič;Slovenia;;;
Ruan Lufei;China;;;
Serge Rubanraut;China;Australia;;
Karl Ruben;Denmark;;;
Jorge Rubinetti;Argentina;;;
Akiba Rubinstein;Poland;Germany;Belgium;
Emanuel Rubinstein;Poland;;;
José Rubinstein;Argentina;;;
Simon Rubinstein;Austria;South Africa;;
Solomon Rubinstein;Poland;USA;;
Sergei Rublevsky;Russia;;;
Olga Rubtsova;Russia;;;
Iosif Rudakovsky;Ukraine;;;
Lyudmila Rudenko;Ukraine;Russia;;
Mary Rudge;England;;;
Nikoly Rudnev;Ukraine;Uzbekistan;;
Anna Rudolf;Hungary;;;
Alexander Rueb;Netherlands;;;
Mikhail Rytshagov;Estonia;;;
Peter Alexandrovich Saburov;Russia;;;
Peter Petrovich Saburov;Russia;Switzerland;;
Antonio Sacconi;Italy;;;
Matthew Sadler;England;;;
Darmen Sadvakasov;Kazakhstan;;;
Yousof Safvat;Iran;born;;
Pierre Charles Fournier de SaintAmant;France;;;
Jaroslav Šajtar;Czechoslovakia;;;
Konstantin Sakaev;Russia;;;
Yuri Sakharov;Ukraine;;;
Valery Salov;Russia;;;
Alessandro Salvio;Italy;;;
Gersz Salwe;Poland;;;
Friedrich (Fritz) Sämisch;Germany;;;
Sergiu Samarian;Romania;Germany;;
Grigory Sanakoev;Russia;;;
Luis Augusto Sánchez;Colombia;;;
Raúl Sanguineti;Argentina;;;
Anthony Santasiere;USA;;;
Emmanuel Sapira;Romania;Belgium;;
Ortvin Sarapu;Estonia;New Zealand;;
Jonathan Sarfati;Australia;New Zealand;;
Gabriel Sargissian;Armenia;;;
Ivan Šarić;Croatia;;;
Zoltan Sarosy;Hungary;Canada;;
Jacob Sarratt;England;;;
Jeff Sarwer;Canada;;;
Krishnan Sasikiran;India;;;
Harold Saunders;England;;;
Stanislav Savchenko;Ukraine;;;
Vladimir Savon;Ukraine;;;
Gyula Sax;Hungary;;;
Emil Schallopp;Germany;;;
Morris Schapiro;Lithuania;USA;;
Willem Schelfhout;Netherlands;;;
Theo van Scheltinga;Netherlands;;;
Theodor von Scheve;Germany;;;
Emanuel Schiffers;Russia;;;
Willi Schlage;Germany;;;
Carl Schlechter;Austria;;;
Roland Schmaltz;Germany;;;
Carl Friedrich Schmid;Latvia;;;
Lothar Schmid;Germany;;;
Paul Felix Schmidt;Estonia;Germany;USA;
Wlodzimierz Schmidt;Poland;;;
Ludwig Schmitt;Germany;;;
Wilhelm Schönmann;Germany;;;
Georg Schories;Germany;;;
Karl Schorn;Germany;;;
Arnold Schottländer;Germany;;;
František Schubert;Czechoslovakia;;;
John William Schulten;USA;;;
Jan Schulz;Czechoslovakia;;;
Aaron Schwartzman;Argentina;;;
Gabriel Schwartzman;Romania;USA;;
Leon Schwartzmann;Poland;France;;
Paulette Schwartzmann;Latvia;France;Argentina;
Adolf Schwarz;Hungary;Austria;;
Jacques Schwarz;Austria;;;
Samuel Schweber;Argentina;;;
Marie Sebag;France;;;
Yasser Seirawan;Syria;USA;;
Adolf Seitz;Germany;Argentina;;
Alexey Selezniev;Russia;France;;
Lidia Semenova;Ukraine;;;
Olav Sepp;Estonia;;;
Edward Guthlac Sergeant;England;;;
Philip Walsingham Sergeant;England;;;
Aleksandr Sergeyev;Russia;;;
Drazen Sermek;Slovenia;;;
Gregory Serper;Uzbekistan;USA;;
Alexander Shabalov;Latvia;USA;;
Greg Shahade;USA;;;
Jennifer Shahade;USA;;;
Leonid Shamkovich;Russia;Israel;USA;
Gauri Shankar;India;;;
Samuel Shankland;USA;;;
Andrey Shariyazdanov;Russia;;;
Elizabeth Shaughnessy;Ireland;USA;;
Shen Yang;China;;;
James Sherwin;USA;England;;
Sergei Shipov;Russia;;;
Kamran Shirazi;Iran;USA;France;
Alexei Shirov;Latvia;Spain;;
Nigel Short;England;;;
Jackson Showalter;USA;;;
Yury Shulman;Belarus;USA;;
Ilya Shumov;Russia;;;
Félix Sicre;Cuba;;;
Bruno Edgar Siegheim;Germany;South Africa;;
Guðmundur Sigurjónsson;Iceland;;;
Jeremy Silman;USA;;;
Vladimir Simagin;Russia;;;
Albert Simonson;USA;;;
Amon Simutowe;Zambia;;;
Marcel Sisniega Campbell;Mexico;;;
Stanislaus Sittenfeld;Poland;France;;
Sanan Sjugirov;Russia;;;
Karel Skalička;Czechoslovakia;Argentina;;
Almira Skripchenko;Moldova;France;;
Bogdan Śliwa;Poland;;;
Sam Sloan;United States;;;
Roman Slobodjan;Germany;;;
Jorn Sloth;Denmark;;;
Jan Smeets;Netherlands;;;
Jan Smejkal;Czechoslovakia;;;
David Smerdon;Australia;;;
Shlomo Smiltiner;Israel;;;
Ilya Smirin;Belarus;Israel;;
Pavel Smirnov;Russia;;;
Stephen Francis Smith;Canada;England;;
Vasily Osipovich Smyslov;Russia;;;
Vasily Smyslov;Russia;;;
Wesley So;Philippines;;;
Bartosz Soćko;Poland;;;
Monika Soćko;Poland;;;
Andrei Sokolov;Russia;France;;
Ivan Sokolov;Bosnia;Netherlands;;
Alexey Sokolsky;Ukraine;Belarus;;
Dragan Solak;Serbia;;;
Alexander Solovtsov;Russia;;;
Andrew Soltis;USA;;;
Ariel Sorin;Argentina;;;
Genna Sosonko;Russia;Netherlands;;
Victor Soultanbeieff;Russia;Belgium;;
Vladimir Sournin;Russia;USA;;
João de Souza Mendes;Brazil;;;
Hugo Spangenberg;Argentina;;;
Vasil Spasov;Bulgaria;;;
Boris Spassky;Russia;France;;
Jon Speelman;England;;;
Abraham Speijer;Netherlands;;;
Rudolf Spielmann;Austria;Sweden;;
Kevin Spraggett;Canada;;;
Ana Srebrnič;Slovenia;;;
Gideon Stahlberg;Sweden;;;
Wilhelm von Stamm;Latvia;;;
Phillip Stamma;Syria;England;France;
Nikolaus Stanec;Austria;;;
Charles Stanley;England;USA;;
Nava Starr;Latvia;Canada;;
Howard Staunton;England;;;
Michael Stean;England;;;
Antoaneta Stefanova;Bulgaria;;;
Hannes Stefansson;Iceland;;;
Elias Stein;Alsace;Netherlands;;
Leonid Stein;Ukraine;;;
Endre Steiner;Hungary;;;
Lajos Steiner;Hungary;Australia;;
Herman Steiner;Slovakia/Hungary;USA;;
Wilhelm Steinitz;Bohemia;Austria;England;USA
Daniel Stellwagen;Netherlands;;;
Károly Sterk;Hungary;;;
Adolf Stern;Germany;;;
Paul van der Sterren;Netherlands;;;
Agnes Stevenson;England;;;
Lara Stock;Croatia;;;
Mark Stolberg;Russia;;;
Gösta Stoltz;Sweden;;;
Leon Stolzenberg;Poland;USA;;
Zurab Sturua;Georgia;;;
Mihai Suba;Romania;;;
Mladen Šubarić;Croatia;;;
Hugo Süchting;Germany;;;
Alexey Suetin;Russia;;;
Berthold Suhle;Poland;Germany;;
Franciszek Sulik;Poland;Argentina;Australia;
Šarūnas Šulskis;Lithuania;;;
Aaron Summerscale;England;;;
Anne Sunnucks;England;;;
Jaime Sunye Neto;Brazil;;;
Emil Sutovsky;Azerbaijan;Israel;;
Duncan Suttles;Canada;;;
Evgeny Sveshnikov;Latvia;;;
Dmitry Svetushkin;Moldova;;;
Peter Svidler;Russia;;;
Rudolf Swiderski;Germany;;;
Eugenio Szabados;Hungary;Italy;;
László Szabó;Hungary;;;
Gedali Szapiro;Poland;Israel;;
Salomon Szapiro;Poland;;;
